Run,ddi_t,ss_t,dr_t,qe_t
1,38.833,7.289,2.099,0.198
2,39.402,7.391,1.903,0.297
3,41.696,7.296,1.508,0.205
4,41.914,6.702,1.605,0.204
5,37.807,7.396,1.602,0.198
