Run,ddi_t,ss_t,dr_t,qe_t
1,49.908,6.301,1.799,0.202
2,40.733,6.207,1.599,0.291
3,36.205,5.799,1.793,0.296
4,42.126,6.203,2.100,0.300
5,39.786,5.993,1.393,0.209
