Run,ddi_t,ss_t,dr_t,qe_t
1,40.524,8.796,2.203,0.294
2,36.005,7.095,1.901,0.200
3,37.504,6.196,2.095,0.295
4,40.844,6.401,2.091,0.296
5,38.447,7.392,2.106,0.299
